country_name,country_code,income_tier,year,mortality_u5,nutrition_stunting,population,cbr_real,annual_births,cate_effect,cate_se,cate_ci_lower,cate_ci_upper,lives_saved_2.5pct,lives_saved_5.0pct,lives_saved_10.0pct
Lao PDR,LAO,Lower middle income,2023,30.5,32.8,7664993.0,21.271,163042.06610300002,0.3787940379608491,0.25716464725213983,-0.1252486706533451,0.8828367465750432,154.39840644158764,308.7968128831753,617.5936257663506
Botswana,BWA,Upper middle income,2023,34.6,28.9,2480244.0,24.713,61294.26997200001,0.9809028987000129,0.41179890496260957,0.1737770449732977,1.7880287524267273,150.30931772308995,300.6186354461799,601.2372708923598
Kyrgyz Republic,KGZ,Lower middle income,2023,17.0,14.1,7099750.0,20.6,146254.85,0.3820395475654516,0.1607423233747692,0.06698459375090388,0.6970945013799992,139.68784180813248,279.37568361626495,558.7513672325299
Uruguay,URY,High income,2023,7.4,6.9,3388081.0,9.871,33443.74755100001,1.5635958693033813,0.28455189711011153,1.005874150967563,2.1213175876392003,130.7312638119217,261.4625276238434,522.9250552476868
Serbia,SRB,Upper middle income,2023,5.4,5.4,6623183.0,9.2,60933.2836,0.7534986477150412,0.1190621309207078,0.520136871110454,0.9868604243196286,114.78286698359274,229.56573396718548,459.13146793437096
"Congo, Rep.",COG,Lower middle income,2023,40.3,21.2,6182885.0,30.627,189363.218895,0.23943902206183024,0.23183523362796407,-0.21495803584897946,0.6938360799726397,113.35235986674773,226.70471973349547,453.40943946699093
Equatorial Guinea,GNQ,Upper middle income,2023,70.4,26.2,1847549.0,29.604,54694.840595999995,0.8287852058943266,0.21165484641632587,0.4139417069183278,1.2436287048703252,113.32568681178306,226.65137362356612,453.30274724713223
Qatar,QAT,High income,2023,6.0,6.2,2656032.0,9.908,26315.965056,1.6877010844107911,0.13726347864633193,1.4186646662639806,1.9567375025576017,111.03370690581922,222.06741381163843,444.13482762327686
Georgia,GEO,Upper middle income,2023,8.8,5.8,3715483.0,11.494,42705.761602,1.0138264262563013,0.35066675271609743,0.3265195909327502,1.7011332615798522,108.24057416377308,216.48114832754615,432.9622966550923
El Salvador,SLV,Upper middle income,2023,10.4,10.0,6309624.0,15.758,99427.05499199999,0.4066747368696719,0.22943846899904338,-0.04302466236845326,0.8563741361077968,101.08617856649498,202.17235713298996,404.3447142659799
Armenia,ARM,Upper middle income,2023,10.0,9.4,2964300.0,12.3,36460.89,1.0461203882267258,0.3601334050646903,0.34025891429993294,1.751981862153519,95.35620100472985,190.7124020094597,381.4248040189194
Lithuania,LTU,High income,2023,3.4,1.0,2871585.0,7.2,20675.412,1.5258518138258303,0.2613606414716462,1.013584956541404,2.038118671110257,78.86903725449085,157.7380745089817,315.4761490179634
Lebanon,LBN,Lower middle income,2023,17.0,13.9,5773493.0,16.144,93207.27099199999,0.3101761056898388,0.35870508924862265,-0.3928858692374616,1.013238080617139,72.27667084569009,144.55334169138018,289.10668338276037
Guyana,GUY,High income,2023,26.0,9.5,826353.0,20.287,16764.223310999998,1.5182148124118249,0.28063478125902924,0.9681706411441272,2.068258983679522,63.629230373349515,127.25846074669903,254.51692149339806
Namibia,NAM,Lower middle income,2023,41.1,22.7,2963095.0,25.89,76714.52955,0.3281514814665481,0.2778693394882659,-0.21647242393045324,0.8727753868635493,62.93496630460446,125.86993260920892,251.73986521841783
Bosnia and Herzegovina,BIH,Upper middle income,2023,6.0,8.9,3185073.0,7.714,24569.653122,1.0214580148172825,0.25562590265413637,0.5204312456151752,1.5224847840193898,62.74217275686842,125.48434551373684,250.96869102747368
Latvia,LVA,High income,2023,2.8,0.5,1883710.0,7.7,14504.567000000001,1.5914275027948666,0.33628492098941337,0.9323090576556167,2.250545947934117,57.707417099827076,115.41483419965415,230.8296683993083
Moldova,MDA,Upper middle income,2023,16.2,6.4,2457783.0,10.755,26433.456165000003,0.8465949671892479,0.2211852874305335,0.41307180382540226,1.2801181305530935,55.94607738676649,111.89215477353298,223.78430954706596
Albania,ALB,Upper middle income,2023,9.4,11.3,2411658.0,10.244,24705.024552,0.831524384515077,0.09961952360882036,0.6362701182417889,1.0267786507883647,51.35707583757917,102.71415167515833,205.42830335031667
Estonia,EST,High income,2023,2.1,1.2,1370286.0,8.0,10962.288,1.5892291544170405,0.15074389995378476,1.2937711105076226,1.8846871983264588,43.55396922179018,87.10793844358037,174.21587688716073
