country_code,country_name,year,indicator_name,value,source,retrieved_date
ETH,Ethiopia,2016,literacy_rate,47.4900016784668,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ETH,Ethiopia,2013,literacy_rate,48.3549726348554,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ETH,Ethiopia,2007,literacy_rate,39.0,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ETH,Ethiopia,2004,literacy_rate,35.9000015258789,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GAB,Gabon,2021,literacy_rate,88.8600006103516,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GMB,"Gambia, The",2021,literacy_rate,51.6399993896484,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GMB,"Gambia, The",2018,literacy_rate,53.1599998474121,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GMB,"Gambia, The",2015,literacy_rate,50.7799987792969,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GMB,"Gambia, The",2000,literacy_rate,36.8199996948242,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GEO,Georgia,2023,literacy_rate,99.5599975585938,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GEO,Georgia,2022,literacy_rate,99.5699996948242,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GEO,Georgia,2021,literacy_rate,99.9180842054209,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GEO,Georgia,2020,literacy_rate,99.8930662080586,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GEO,Georgia,2019,literacy_rate,99.8757151699707,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GEO,Georgia,2018,literacy_rate,99.6500015258789,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GEO,Georgia,2017,literacy_rate,99.3600006103516,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GEO,Georgia,2014,literacy_rate,99.5899963378906,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GEO,Georgia,2002,literacy_rate,99.6500015258789,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GHA,Ghana,2021,literacy_rate,76.4899978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GHA,Ghana,2017,literacy_rate,64.4899978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GHA,Ghana,2015,literacy_rate,60.1981035367761,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GHA,Ghana,2010,literacy_rate,71.5,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GHA,Ghana,2000,literacy_rate,57.9000015258789,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GRC,Greece,2009,literacy_rate,93.9100036621094,UNESCO Institute for Statistics (via World Bank API),2026-09-02
